config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_012,5,UKCHLL023,100,,50,all,0.09184789493034594,0.918644582852597,0.3546876752457007,0.4550600510095479
config_012,5,UKCHLL035,100,,50,all,0.07621811693117451,0.9259648796878106,0.9667521629531285,0.6563117198573711
config_012,5,UKCHLL041,100,,50,all,0.1183915073518324,0.943342019995546,0.9556402936264765,0.6724579403246184
config_013,1,UKCHLL001,300,5,1,sqrt,0.6100656894523967,0.9046558873132323,0.9766590855727421,0.830460220779457
config_013,1,UKCHLL002,300,5,1,sqrt,0.7233203545688013,0.9395100012502663,0.9689314994413979,0.8772539517534885
config_013,1,UKCHLL042,300,5,1,sqrt,0.7535881457252425,0.9111198689822478,0.9291061450332774,0.8646047199135892
config_013,1,UKCHLL045,300,5,1,sqrt,0.6634943774090566,0.918358620868371,0.9704890968769295,0.8507806983847855
config_013,2,UKCHLL011,300,5,1,sqrt,0.5159547074455302,0.9481208806498546,0.9663939292577831,0.8101565057843892
config_013,2,UKCHLL017,300,5,1,sqrt,0.5569990202644732,0.9299802199149639,0.9754840835432899,0.8208211079075757
config_013,2,UKCHLL031,300,5,1,sqrt,0.8110596411482625,0.9447093401539117,0.9705731854118784,0.9087807222380175
config_013,2,UKCHLL037,300,5,1,sqrt,0.7220522235822113,0.923290513397784,0.9674351483552139,0.870925961778403
config_013,3,UKCHLL009,300,5,1,sqrt,0.8266736778330923,0.9207506472838314,0.9689890436817663,0.9054711229328967
config_013,3,UKCHLL039,300,5,1,sqrt,0.6641866274748064,0.9387004880640127,0.9644675366243147,0.855784884054378
config_013,3,UKCHLL043,300,5,1,sqrt,0.7592579789072846,0.9159126881729169,0.9686088862166171,0.8812598510989395
config_013,3,UKCHLL046,300,5,1,sqrt,0.6695798009016356,0.9439417796323585,0.953509821994481,0.8556771341761583
config_013,4,UKCHLL015,300,5,1,sqrt,0.53520942206601,0.935514406682465,0.9691778965835464,0.8133005751106738
config_013,4,UKCHLL034,300,5,1,sqrt,0.6699684516941972,0.9425549543071904,0.9661435840462369,0.8595556633492082
config_013,4,UKCHLL038,300,5,1,sqrt,0.6442210102301341,0.9042766980508412,0.9719675125903798,0.840155073623785
config_013,4,UKCHLL048,300,5,1,sqrt,0.3709864771151179,0.9282920793618226,0.9480148474713692,0.7490978013161032
config_013,5,UKCHLL021,300,5,1,sqrt,0.7523966713018918,0.9275922455278119,0.9625027280826141,0.880830548304106
config_013,5,UKCHLL023,300,5,1,sqrt,0.6934549557615677,0.9218578108696492,0.04477253653060459,0.5533617677206072
config_013,5,UKCHLL035,300,5,1,sqrt,0.683353458685527,0.9422181298410466,0.9655298716943143,0.8637004867402959
config_013,5,UKCHLL041,300,5,1,sqrt,0.7796126638061,0.9444919991484814,0.947477596786609,0.8905274199137301
config_014,1,UKCHLL001,300,5,1,all,0.7095895447556655,0.9014241234059922,0.975431162437686,0.8621482768664479
config_014,1,UKCHLL002,300,5,1,all,0.7348672441597124,0.9377131150142283,0.9691585001004659,0.8805796197581355
config_014,1,UKCHLL042,300,5,1,all,0.8301827384396192,0.910639653883394,0.926262667969267,0.88902835343076
config_014,1,UKCHLL045,300,5,1,all,0.7435652315073682,0.9139071444462886,0.9710540102385559,0.8761754620640709
config_014,2,UKCHLL011,300,5,1,all,0.5720052899004664,0.9487957864826677,0.9665973493418096,0.8291328085749813
config_014,2,UKCHLL017,300,5,1,all,0.6455933261449407,0.9215189541970241,0.9743695517561815,0.847160610699382
config_014,2,UKCHLL031,300,5,1,all,0.8035486164263788,0.9405174274769652,0.9711565631316974,0.9050742023450139
config_014,2,UKCHLL037,300,5,1,all,0.7646877069079674,0.9222817597450668,0.9670884504526692,0.8846859723685677
config_014,3,UKCHLL009,300,5,1,all,0.8379394700254017,0.9214305954742339,0.9688091027730199,0.909393056090885
config_014,3,UKCHLL039,300,5,1,all,0.7071597779056472,0.9382201069968262,0.9619500788676311,0.8691099879233682
config_014,3,UKCHLL043,300,5,1,all,0.7693177777591126,0.9090714991059275,0.9688669903552999,0.8824187557401134
config_014,3,UKCHLL046,300,5,1,all,0.749596489238259,0.9460735334356083,0.9519063387902454,0.8825254538213709
config_014,4,UKCHLL015,300,5,1,all,0.6171942570489535,0.9327777181042031,0.9696280957890865,0.8398666903140811
config_014,4,UKCHLL034,300,5,1,all,0.7474730047520638,0.9376915432204757,0.9683281544781088,0.8844975674835495
config_014,4,UKCHLL038,300,5,1,all,0.6918277474982489,0.9026050439993394,0.9711019853832676,0.8551782589602853
config_014,4,UKCHLL048,300,5,1,all,0.3897932351883405,0.9257920651311753,0.9508542724732192,0.7554798575975784
config_014,5,UKCHLL021,300,5,1,all,0.7734227982951356,0.9350387190575139,0.962691476476949,0.8903843312765328
config_014,5,UKCHLL023,300,5,1,all,0.7060222098513799,0.9204533259866693,0.04452850878631232,0.5570013482081205
config_014,5,UKCHLL035,300,5,1,all,0.6937478147547758,0.9373372900857715,0.9650793147424712,0.8653881398610062
config_014,5,UKCHLL041,300,5,1,all,0.7808470582663367,0.9441292849506095,0.9476749123381325,0.8908837518516929
config_015,1,UKCHLL001,300,5,50,sqrt,0.6100656894523967,0.9083401838427622,0.9766254420245726,0.8316771051065771
config_015,1,UKCHLL002,300,5,50,sqrt,0.7230328425445933,0.9393042827819558,0.9688360751866756,0.8770577335044082
config_015,1,UKCHLL042,300,5,50,sqrt,0.7535668969406457,0.9116609319159432,0.9286905245890706,0.8646394511485532
config_015,1,UKCHLL045,300,5,50,sqrt,0.6634246941555383,0.916247855225058,0.9706620334784237,0.8501115276196733
config_015,2,UKCHLL011,300,5,50,sqrt,0.5144883630973776,0.9474626865671641,0.9660821200160289,0.8093443898935235
config_015,2,UKCHLL017,300,5,50,sqrt,0.5569034600314348,0.9298707435868521,0.9753829912095221,0.8207190649426029
config_015,2,UKCHLL031,300,5,50,sqrt,0.8109743106863021,0.9447248076612687,0.970454065344657,0.9087177278974092
config_015,2,UKCHLL037,300,5,50,sqrt,0.7220985241211297,0.9226511000357959,0.9673522757435443,0.8707006333001567
config_015,3,UKCHLL009,300,5,50,sqrt,0.8266736778330923,0.9186706578624004,0.9688383680623701,0.9047275679192875
config_015,3,UKCHLL039,300,5,50,sqrt,0.6532684789829841,0.9386669640711487,0.9642412933788055,0.8520589121443128
config_015,3,UKCHLL043,300,5,50,sqrt,0.7592579789072846,0.9145469264527752,0.968490193703738,0.880765033021266
config_015,3,UKCHLL046,300,5,50,sqrt,0.6695832350316446,0.9436931820354839,0.9533465163491397,0.8555409778054228
config_015,4,UKCHLL015,300,5,50,sqrt,0.5353052699724093,0.9331377231815744,0.9691315280898585,0.8125248404146141
config_015,4,UKCHLL034,300,5,50,sqrt,0.6694054283714885,0.9421107520109038,0.9660476755846905,0.8591879519890275
config_015,4,UKCHLL038,300,5,50,sqrt,0.644211960625248,0.9017367106778676,0.9718067330071763,0.839251801436764
config_015,4,UKCHLL048,300,5,50,sqrt,0.369442861829043,0.9259439068069285,0.9477417378901221,0.7477095021753645
